| 13:15:03 | samuel | System.Char[] |
| 13:17:44 | Echo | Request served by 0e8e98740836 |
| 13:17:47 | Samuel | #rev hej |
| 13:17:47 | samuel | System.Char[] |
| 13:17:47 | Echo | #rev hej |
| 13:17:47 | samuel | System.Char[] |
| 13:17:53 | Samuel | hej |
| 13:17:53 | Echo | hej |
| 13:17:56 | Samuel | #rev hej |
| 13:17:56 | samuel | System.Char[] |
| 13:17:56 | Echo | #rev hej |
| 13:17:56 | samuel | System.Char[] |
| 13:24:27 | Echo | Request served by 0e8e98740836 |
| 13:24:30 | Samuel | #rev hej |
| 13:24:30 | samuel | jeh |
| 13:24:30 | Echo | #rev hej |
| 13:24:30 | samuel | jeh |
| 13:24:43 | Samuel | #joke |
| 13:24:43 | samuel | "To be Frank, I\u0027d have to change my name." |
| 13:24:44 | Echo | #joke |
| 13:24:44 | samuel | "Why did the melons plan a big wedding? Because they cantaloupe!" |
| 13:25:53 | Echo | Request served by 0e8e98740836 |
| 13:25:55 | Samuel | #rev hej |
| 13:25:55 | samuel | jeh |
| 13:25:55 | Echo | #rev hej |
| 13:25:55 | samuel | jeh |
| 13:26:22 | Echo | Request served by 0e8e98740836 |
| 13:26:30 | Samuel | #rev hej |
| 13:26:30 | samuel | jeh |
| 13:26:30 | Echo | #rev hej |
| 13:26:30 | samuel | jeh |
| 13:27:05 | Echo | Request served by 0e8e98740836 |
| 13:27:08 | Samuel | #rev hej |
| 13:27:08 | samuel | jeh |
| 13:27:08 | Echo | #rev hej |
| 13:27:08 | samuel | jeh |
| 13:27:11 | Samuel | #joke |
| 13:27:12 | samuel | "A weasel walks into a bar. The bartender says, \u0022Wow, I\u0027ve never served a weasel before. What can I get for you?\u0022\r\n\u0022Pop,\u0022 goes the weasel." |
| 13:27:12 | Echo | #joke |
| 13:27:12 | samuel | "What is bread\u0027s favorite number?  Leaven." |
| 13:34:55 | Echo | Request served by 0e8e98740836 |
| 13:34:58 | Samuel | #joke |
| 13:34:58 | samuel | "What did the grape do when he got stepped on? He let out a little wine." |
| 13:34:58 | Echo | #joke |
| 13:34:59 | samuel | "I saw a documentary on TV last night about how they put ships together.  It was rivetting." |
| 13:35:02 | Samuel | #rev hej |
| 13:35:02 | samuel | jeh |
| 13:35:03 | Echo | #rev hej |
| 13:35:03 | samuel | jeh |
